uri:/instrument/1.0/BBY/chartdata;type=quote;range=1d/csv
ticker:bby
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:27.3600
Timestamp:1370871000,1370894400
labels:1370872800,1370876400,1370880000,1370883600,1370887200,1370890800,1370894400
values:Timestamp,close,high,low,open,volume
close:27.3000,28.2000
high:27.3300,28.2200
low:27.2910,28.1900
open:27.3000,28.2000
volume:100,219000
1370871054,27.4199,27.4199,27.3700,27.3800,40600
1370871117,27.4500,27.4500,27.4200,27.4200,1100
1370871153,27.4200,27.4500,27.4083,27.4500,4500
1370871234,27.4000,27.4599,27.3900,27.4100,6200
1370871298,27.3900,27.4000,27.3900,27.4000,4200
1370871335,27.4000,27.4000,27.3701,27.4000,7800
1370871416,27.4200,27.4300,27.4100,27.4200,5100
1370871457,27.4180,27.4400,27.4100,27.4100,3200
1370871537,27.4000,27.4200,27.4000,27.4100,3900
1370871584,27.3000,27.4000,27.3000,27.3900,9200
1370871655,27.3550,27.3550,27.3000,27.3150,17500
1370871710,27.3500,27.4400,27.3500,27.3500,43100
1370871770,27.3600,27.3600,27.3200,27.3500,10300
1370871835,27.3154,27.3500,27.3100,27.3500,6400
1370871898,27.3200,27.3700,27.3150,27.3300,7600
1370871951,27.3300,27.3400,27.3250,27.3400,2600
1370872008,27.3350,27.3400,27.3250,27.3300,1900
1370872079,27.3400,27.3400,27.3301,27.3301,4200
1370872116,27.3230,27.3470,27.3100,27.3350,4200
1370872197,27.3750,27.3900,27.3350,27.3400,3500
1370872250,27.3700,27.3700,27.3600,27.3600,1200
1370872314,27.3900,27.4000,27.3750,27.3750,14300
1370872376,27.3700,27.4100,27.3600,27.3922,14400
1370872432,27.3400,27.3600,27.3400,27.3600,4300
1370872499,27.3000,27.3300,27.3000,27.3300,14700
1370872546,27.3500,27.3500,27.2910,27.3000,4500
1370872612,27.3400,27.3400,27.3345,27.3345,1600
1370872666,27.3900,27.3900,27.3301,27.3301,3800
1370872725,27.3840,27.3900,27.3700,27.3800,9900
1370872798,27.4000,27.4100,27.3700,27.3840,17900
1370872854,27.3900,27.4400,27.3500,27.4200,122100
1370872919,27.4000,27.4200,27.3800,27.3800,16300
1370872979,27.3850,27.3950,27.3700,27.3950,5700
1370873012,27.3800,27.3900,27.3800,27.3801,6600
1370873099,27.4800,27.4900,27.3800,27.3800,30400
1370873158,27.5301,27.5400,27.4700,27.4700,30300
1370873217,27.6001,27.6100,27.5500,27.5500,8400
1370873278,27.5750,27.6100,27.5750,27.6000,9200
1370873329,27.5701,27.6000,27.5701,27.5800,4600
1370873399,27.6075,27.6300,27.6000,27.6000,17600
1370873451,27.5900,27.6100,27.5900,27.5900,4800
1370873518,27.5630,27.6100,27.5400,27.6100,10100
1370873570,27.6900,27.7000,27.5700,27.5700,33800
1370873638,27.6800,27.6900,27.6300,27.6600,5200
1370873698,27.6311,27.6800,27.6200,27.6800,4900
1370873757,27.6410,27.6690,27.6400,27.6500,4400
1370873819,27.7100,27.7399,27.6700,27.6700,13900
1370873877,27.7100,27.7300,27.6960,27.7200,8600
1370873937,27.7099,27.7180,27.6800,27.7110,10900
1370873995,27.7003,27.7100,27.7001,27.7100,1700
1370874056,27.7200,27.7300,27.6900,27.7000,14300
1370874106,27.8200,27.8200,27.7200,27.7200,37400
1370874179,27.8000,27.8300,27.7800,27.8299,13800
1370874180,27.8400,27.8500,27.7500,27.8100,33100
1370874296,27.8300,27.8500,27.8201,27.8300,13300
1370874355,27.8062,27.8500,27.8062,27.8500,20700
1370874402,27.8201,27.8400,27.8100,27.8100,1500
1370874465,27.8600,27.8700,27.8301,27.8301,18600
1370874537,27.8200,27.8800,27.8100,27.8700,8700
1370874599,27.8000,27.8200,27.7900,27.8140,12700
1370874653,27.7900,27.8100,27.7900,27.8080,11100
1370874719,27.7900,27.8000,27.7899,27.8000,4300
1370874779,27.8000,27.8100,27.7900,27.7900,18500
1370874782,27.8400,27.8500,27.8100,27.8101,9300
1370874899,27.8100,27.8600,27.8100,27.8400,13600
1370874952,27.8100,27.8300,27.8100,27.8100,9100
1370875017,27.8500,27.8700,27.8150,27.8150,33500
1370875072,27.8500,27.8800,27.8450,27.8500,22500
1370875093,27.8900,27.8900,27.8600,27.8670,13200
1370875198,27.8900,27.9000,27.8899,27.8900,4900
1370875249,27.9000,27.9000,27.8800,27.8900,19500
1370875308,27.8870,27.9000,27.8850,27.8990,9800
1370875375,27.8900,27.9100,27.8899,27.8900,12600
1370875435,27.8901,27.9000,27.8900,27.9000,7200
1370875498,27.8900,27.9000,27.8800,27.9000,10400
1370875541,27.8700,27.8830,27.8600,27.8830,4300
1370875619,27.8700,27.8900,27.8600,27.8600,9100
1370875666,27.8500,27.8800,27.8500,27.8800,3200
1370875683,27.8401,27.8600,27.8401,27.8500,3000
