uri:/instrument/1.0/CLF/chartdata;type=quote;range=1d/csv
ticker:clf
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:21.2500
Timestamp:1369229400,1369252800
labels:1369231200,1369234800,1369238400,1369242000,1369245600,1369249200,1369252800
values:Timestamp,close,high,low,open,volume
close:20.7800,21.8769
high:20.8000,21.9600
low:20.7300,21.8501
open:20.7750,21.8700
volume:200,800600
1369229452,21.3900,21.4300,21.3400,21.3400,102000
1369229519,21.5299,21.5400,21.3900,21.3900,41700
1369229579,21.4800,21.5400,21.4600,21.5240,29700
1369229639,21.5190,21.6000,21.4900,21.4900,40300
1369229698,21.4200,21.5300,21.4200,21.5100,35400
1369229758,21.3200,21.5100,21.2500,21.5100,67300
1369229818,21.3000,21.3300,21.2000,21.2600,103300
1369229877,21.1800,21.3299,21.1799,21.3000,48300
1369229935,21.2900,21.3400,21.1902,21.2100,41300
1369229997,21.3100,21.3400,21.2700,21.3000,13500
1369230054,21.3463,21.3700,21.3000,21.3000,35100
1369230117,21.3400,21.3500,21.2900,21.3500,23600
1369230175,21.3200,21.3200,21.2500,21.3100,29000
1369230239,21.3800,21.3800,21.3100,21.3140,35600
1369230289,21.4400,21.4400,21.3801,21.4000,10200
1369230356,21.4000,21.4250,21.3800,21.4100,29500
1369230419,21.4100,21.4200,21.3700,21.3800,27700
1369230479,21.4050,21.4200,21.3900,21.4200,5200
1369230531,21.4300,21.4450,21.3500,21.3900,38000
1369230598,21.4330,21.4500,21.4100,21.4100,33800
1369230657,21.5300,21.5300,21.4150,21.4500,36400
1369230719,21.5810,21.5950,21.5200,21.5400,45200
1369230779,21.6290,21.6400,21.5801,21.5933,92000
1369230838,21.6750,21.6800,21.5700,21.6300,87100
1369230896,21.7310,21.7500,21.6600,21.6686,71300
1369230959,21.6800,21.7800,21.6500,21.7400,59700
1369231019,21.6000,21.6810,21.5401,21.6600,57700
1369231077,21.6000,21.6200,21.5800,21.6000,23200
1369231139,21.5000,21.5890,21.5000,21.5875,26100
1369231194,21.5800,21.5800,21.5100,21.5100,13200
1369231258,21.7500,21.7800,21.5700,21.5700,99400
1369231316,21.6799,21.8000,21.6500,21.7500,65000
1369231377,21.6700,21.7450,21.6401,21.6800,16400
1369231439,21.7400,21.7600,21.6700,21.6700,24700
1369231496,21.7800,21.8000,21.7110,21.7499,39800
1369231559,21.7700,21.7901,21.7500,21.7700,29200
1369231619,21.8000,21.8400,21.7300,21.7610,67800
1369231679,21.7800,21.8300,21.7500,21.7800,40400
1369231738,21.8200,21.8600,21.7700,21.7700,49800
1369231799,21.8600,21.8700,21.7900,21.8050,50100
1369231858,21.8500,21.8900,21.8000,21.8600,42100
1369231919,21.8701,21.9000,21.8401,21.8700,38100
1369231979,21.8769,21.9000,21.8430,21.8700,24800
1369232039,21.8400,21.8900,21.8210,21.8700,42300
1369232099,21.8525,21.8600,21.7800,21.8400,46600
1369232158,21.8610,21.9600,21.8501,21.8700,73900
1369232219,21.8400,21.8700,21.8001,21.8600,32400
1369232277,21.8300,21.8500,21.7900,21.8200,49100
1369232339,21.7800,21.8800,21.7700,21.8210,41300
1369232399,21.8100,21.8200,21.7500,21.7800,30300
1369232458,21.7400,21.8100,21.7100,21.8100,27700
1369232518,21.7400,21.7690,21.7400,21.7690,15600
1369232579,21.7100,21.8000,21.7000,21.7502,19800
1369232639,21.7130,21.7600,21.6800,21.7101,30200
1369232697,21.7550,21.7700,21.7200,21.7300,12600
1369232758,21.6897,21.7690,21.6700,21.7600,40900
1369232817,21.7400,21.7700,21.6860,21.6860,20000
1369232878,21.7360,21.7500,21.6800,21.7200,18700
1369232939,21.7400,21.7600,21.6976,21.7200,14200
1369232999,21.6741,21.7560,21.6300,21.7300,67800
1369233059,21.5000,21.6800,21.5000,21.6800,134100
1369233118,21.5401,21.5900,21.4500,21.5000,83900
1369233179,21.5600,21.6200,21.5500,21.5677,36900
1369233238,21.5000,21.5700,21.5000,21.5700,36000
1369233299,21.4400,21.5100,21.4000,21.5001,76400
1369233359,21.3200,21.4500,21.2600,21.4400,90200
1369233419,21.4200,21.4200,21.3100,21.3200,25600
1369233477,21.3400,21.4300,21.3400,21.4200,32900
1369233539,21.4110,21.4190,21.3300,21.3500,63100
1369233599,21.3501,21.4200,21.3300,21.3800,45400
1369233658,21.3300,21.3701,21.3100,21.3657,42600
1369233719,21.3300,21.3700,21.3100,21.3300,31000
1369233771,21.4200,21.4400,21.3200,21.3390,43200
1369233831,21.4900,21.5000,21.3900,21.4200,43200
1369233886,21.4945,21.5000,21.4400,21.4900,19100
1369233956,21.4400,21.5500,21.3812,21.5100,121900
1369234017,21.4200,21.4600,21.4100,21.4400,14400
1369234079,21.4000,21.4300,21.3800,21.4100,18300
1369234137,21.3890,21.4000,21.3667,21.4000,33000
1369234199,21.3800,21.4077,21.3600,21.3800,16400
1369234255,21.3300,21.4000,21.3300,21.3900,16600
1369234318,21.2380,21.3300,21.2300,21.3300,102300
1369234379,21.2550,21.2700,21.2200,21.2300,31400
1369234437,21.2200,21.2600,21.2100,21.2500,17400
1369234499,21.2400,21.2700,21.2000,21.2100,41800
1369234557,21.1802,21.2400,21.1690,21.2200,130600
1369234619,21.1900,21.2200,21.1700,21.1800,43800
1369234679,21.2000,21.2200,21.1200,21.2000,49300
1369234739,21.1950,21.2200,21.1500,21.1999,33600
1369234798,21.1700,21.2000,21.1400,21.1800,45100
1369234858,21.1600,21.2200,21.1300,21.1700,51500
1369234917,21.1901,21.2100,21.1500,21.1500,22000
1369234977,21.1701,21.2100,21.1550,21.2100,27200
1369235035,21.2200,21.2200,21.1600,21.1710,15200
1369235091,21.2200,21.2500,21.1700,21.2200,25100
1369235159,21.2600,21.2600,21.2000,21.2200,27300
1369235218,21.2100,21.2800,21.2000,21.2600,36600
1369235277,21.2300,21.2400,21.1999,21.2190,32200
1369235339,21.2920,21.3000,21.2400,21.2400,32200
1369235383,21.2275,21.3100,21.2275,21.3000,19600
1369235459,21.3000,21.3000,21.2250,21.2400,21100
1369235519,21.3199,21.3500,21.2700,21.3000,44900
1369235577,21.3000,21.3300,21.2350,21.3300,60100
1369235637,21.2500,21.3150,21.2500,21.3100,11500
1369235699,21.2201,21.2800,21.1800,21.2510,48800
1369235749,21.2400,21.2500,21.2000,21.2300,30600
1369235818,21.2100,21.2700,21.2050,21.2500,8700
1369235877,21.1600,21.2000,21.1600,21.2000,21100
1369235934,21.1620,21.1833,21.1400,21.1600,28200
1369235994,21.1800,21.2200,21.1650,21.1675,11000
1369236055,21.2000,21.2100,21.1800,21.1800,4900
1369236119,21.1900,21.2000,21.1850,21.1999,9900
1369236174,21.2000,21.2190,21.1900,21.2000,3100
1369236226,21.2280,21.2500,21.1600,21.1950,31700
1369236294,21.2301,21.2500,21.2200,21.2200,9700
1369236358,21.2500,21.2550,21.2200,21.2375,29400
1369236415,21.2700,21.2700,21.2500,21.2500,17500
1369236476,21.2900,21.2900,21.2590,21.2725,11600
1369236536,21.3120,21.3199,21.2900,21.2900,14700
1369236599,21.3000,21.3200,21.2900,21.3101,21600
1369236654,21.3100,21.3400,21.3000,21.3100,18900
1369236717,21.2800,21.3200,21.2800,21.3000,11800
1369236777,21.2824,21.3000,21.2700,21.2900,6800
1369236836,21.2700,21.3000,21.2601,21.2800,7000
1369236893,21.2900,21.2900,21.2700,21.2800,4800
1369236959,21.2450,21.2900,21.2400,21.2900,16300
1369237014,21.2700,21.2700,21.2467,21.2500,4400
1369237078,21.3000,21.3300,21.2800,21.2800,9500
1369237126,21.2900,21.3600,21.2750,21.3000,22600
1369237195,21.2550,21.3100,21.2500,21.2900,16600
1369237252,21.3400,21.3400,21.2700,21.2700,40800
1369237314,21.3500,21.3600,21.3400,21.3500,11600
1369237376,21.3200,21.3500,21.3100,21.3500,28500
1369237427,21.3300,21.3400,21.3200,21.3200,11700
1369237499,21.4050,21.4069,21.3470,21.3490,25600
1369237559,21.4300,21.4500,21.4000,21.4031,74500
1369237608,21.4390,21.4480,21.4000,21.4300,26100
1369237672,21.4450,21.4550,21.4200,21.4500,20400
1369237737,21.4600,21.4700,21.4200,21.4400,31200
1369237798,21.4300,21.4700,21.3950,21.4700,32200
1369237857,21.4200,21.4588,21.4150,21.4300,18700
1369237919,21.4400,21.4500,21.4200,21.4300,15200
1369237978,21.4300,21.4400,21.4100,21.4400,3200
1369238039,21.4250,21.4400,21.3910,21.4400,9500
1369238088,21.4300,21.4300,21.3950,21.4153,32600
1369238159,21.3900,21.4299,21.3900,21.4200,18600
1369238215,21.3900,21.3900,21.3700,21.3900,27100
1369238279,21.3300,21.4000,21.3200,21.4000,11200
1369238326,21.3200,21.3200,21.2900,21.3200,18400
1369238389,21.3000,21.3200,21.2900,21.3100,7100
1369238457,21.3500,21.3600,21.3000,21.3100,21900
1369238517,21.3200,21.3501,21.2600,21.3501,16500
1369238577,21.3400,21.3400,21.2950,21.3200,12000
1369238637,21.3469,21.4100,21.3150,21.3400,149900
1369238698,21.3900,21.4300,21.3400,21.3500,92900
1369238759,21.4400,21.4700,21.3900,21.3900,144400
1369238819,21.3900,21.4380,21.3600,21.4300,64200
1369238879,21.4900,21.4900,21.3700,21.3850,62400
1369238937,21.5000,21.5100,21.4100,21.4900,73900
1369238999,21.5269,21.5400,21.5000,21.5000,100600
1369239055,21.5199,21.5200,21.4950,21.5200,54700
1369239116,21.3900,21.5300,21.3900,21.5100,100500
1369239175,21.3601,21.4100,21.3300,21.4100,55800
1369239238,21.4000,21.4000,21.3300,21.3700,30000
1369239299,21.4200,21.4299,21.3900,21.4000,19700
1369239359,21.3900,21.4300,21.3800,21.4200,18900
1369239419,21.4300,21.4300,21.4000,21.4000,9100
1369239477,21.4900,21.4901,21.4300,21.4300,45900
1369239535,21.5000,21.5100,21.4600,21.4700,28500
1369239594,21.4700,21.5000,21.4700,21.5000,32700
1369239658,21.4700,21.4700,21.4350,21.4700,21400
1369239719,21.4933,21.4933,21.4500,21.4700,4400
1369239773,21.5150,21.5150,21.4700,21.4900,59600
1369239837,21.5400,21.5400,21.4710,21.5101,22200
1369239895,21.5700,21.6000,21.5200,21.5300,84100
1369239959,21.5800,21.6000,21.5400,21.5701,60800
1369240016,21.5300,21.6000,21.5200,21.5790,38500
1369240078,21.4890,21.5800,21.4500,21.5400,59100
1369240139,21.4700,21.4899,21.4200,21.4801,19300
1369240198,21.4320,21.4600,21.4300,21.4600,13500
1369240247,21.4300,21.4533,21.4150,21.4400,38800
1369240313,21.4800,21.4900,21.4400,21.4400,11500
1369240378,21.4667,21.4700,21.4200,21.4700,11600
1369240436,21.4500,21.4600,21.4300,21.4600,5000
1369240498,21.4500,21.4700,21.4050,21.4500,23300
1369240553,21.3800,21.4700,21.3600,21.4500,30300
1369240619,21.4000,21.4400,21.3800,21.3800,29600
1369240676,21.4200,21.4300,21.3800,21.3800,9700
1369240739,21.4100,21.4570,21.4000,21.4231,12300
1369240799,21.4400,21.4600,21.4100,21.4100,17200
1369240856,21.3850,21.4401,21.3750,21.4400,20300
1369240919,21.3700,21.3900,21.3600,21.3900,14700
1369240978,21.4100,21.4300,21.3700,21.3900,13800
1369241036,21.4200,21.4500,21.4100,21.4100,21500
1369241099,21.4500,21.4600,21.4300,21.4300,2900
1369241128,21.4400,21.4400,21.4400,21.4400,400
1369241218,21.4500,21.4500,21.4367,21.4400,3500
1369241262,21.4600,21.4600,21.4400,21.4590,8300
1369241337,21.4400,21.4650,21.4214,21.4650,16700
1369241386,21.4300,21.4500,21.4220,21.4300,7200
1369241451,21.4300,21.4500,21.4000,21.4400,25500
1369241515,21.4200,21.4400,21.4200,21.4400,4400
1369241576,21.3900,21.4300,21.3900,21.4200,10200
1369241637,21.4090,21.4090,21.3800,21.3800,6500
1369241699,21.4500,21.4500,21.4080,21.4080,21900
1369241744,21.4500,21.4800,21.4500,21.4600,16400
1369241819,21.4400,21.4500,21.4200,21.4500,8600
1369241879,21.4400,21.4550,21.4300,21.4500,7000
1369241925,21.4450,21.4450,21.4400,21.4400,2100
1369241999,21.4500,21.4500,21.4300,21.4367,5100
1369242059,21.4900,21.4900,21.4500,21.4500,14800
1369242114,21.4900,21.5400,21.4850,21.4900,49000
1369242177,21.5200,21.5200,21.4900,21.4900,5400
1369242236,21.5350,21.5400,21.5150,21.5299,20100
1369242299,21.5400,21.5400,21.5300,21.5399,28800
1369242358,21.5490,21.5500,21.5400,21.5400,16800
1369242417,21.5200,21.5500,21.5020,21.5400,14300
1369242477,21.5262,21.5300,21.5000,21.5150,11100
1369242529,21.4760,21.5200,21.4700,21.5200,19200
1369242598,21.4980,21.5200,21.4800,21.4800,19700
1369242640,21.4900,21.5200,21.4900,21.5000,6800
