uri:/instrument/1.0/WAC/chartdata;type=quote;range=1d/csv
ticker:wac
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:33.7900
Timestamp:1367587800,1367611200
labels:1367589600,1367593200,1367596800,1367600400,1367604000,1367607600,1367611200
values:Timestamp,close,high,low,open,volume
close:33.9700,34.8500
high:33.9700,34.8600
low:33.9300,34.8300
open:33.9700,34.8550
volume:0,22900
1367588083,34.2100,34.2600,34.2100,34.2600,5300
1367588144,34.2400,34.2400,34.1500,34.1900,1400
1367588209,34.1900,34.3600,33.9300,34.2500,6800
1367588221,33.9800,33.9800,33.9800,33.9800,100
1367588294,34.1900,34.1900,34.1900,34.1900,100
1367588397,34.1100,34.1100,34.0100,34.1100,500
1367588458,34.2300,34.2300,34.1000,34.1100,900
1367588474,34.2900,34.2900,34.2600,34.2600,500
1367588570,34.4400,34.4400,34.4300,34.4300,800
1367588637,34.5300,34.5300,34.4400,34.4400,1000
1367588683,34.5200,34.5600,34.4500,34.5300,3100
1367588752,34.5300,34.5300,34.5300,34.5300,100
1367588817,34.5500,34.5600,34.5100,34.5200,1700
1367588876,34.6300,34.6300,34.5500,34.5500,4300
1367588932,34.6400,34.6400,34.5950,34.6300,2100
1367588990,34.6400,34.6400,34.6000,34.6400,500
1367589047,34.8500,34.8600,34.6500,34.6500,2800
1367589101,34.8500,34.8550,34.8300,34.8550,0
1367589179,34.8400,34.8400,34.7527,34.7527,1500
1367589213,34.7500,34.8400,34.7500,34.8400,300
1367589291,34.6400,34.7800,34.6400,34.7700,3300
1367589308,34.5550,34.5800,34.5550,34.5800,300
1367589405,34.5500,34.5600,34.5500,34.5500,1000
1367589479,34.4800,34.5200,34.4800,34.5200,1600
1367589525,34.5000,34.5000,34.4800,34.4800,2700
1367589585,34.5100,34.5100,34.4900,34.5000,800
1367589641,34.5600,34.5700,34.5300,34.5300,600
1367589703,34.5800,34.5800,34.5700,34.5700,200
1367589775,34.5800,34.5800,34.5200,34.5560,1300
1367589838,34.5600,34.5800,34.5450,34.5800,1800
1367589889,34.5900,34.5900,34.5600,34.5700,600
1367589939,34.6500,34.6500,34.5900,34.5900,3600
1367589984,34.6900,34.6900,34.6500,34.6800,1000
1367590056,34.7200,34.7300,34.6600,34.7300,900
1367590095,34.7250,34.7400,34.6900,34.7300,1000
1367590254,34.6700,34.7868,34.6300,34.7868,3400
1367590318,34.6400,34.6700,34.6000,34.6700,1400
1367590377,34.6850,34.6900,34.6400,34.6500,1900
1367590409,34.7600,34.7600,34.6900,34.6900,2800
1367590494,34.8000,34.8100,34.7600,34.7600,500
1367590542,34.8000,34.8100,34.7950,34.8100,2600
1367590614,34.7800,34.8100,34.7250,34.7900,8100
1367590678,34.7300,34.7600,34.6900,34.7300,1600
1367590733,34.7100,34.7800,34.6400,34.7300,8300
1367590799,34.7600,34.8000,34.7000,34.7100,3000
1367590847,34.7700,34.8200,34.7200,34.7500,2000
1367590914,34.8300,34.8399,34.7700,34.7700,2000
1367590951,34.7600,34.8200,34.7400,34.8200,3700
1367591039,34.6800,34.7600,34.6700,34.7600,3700
1367591095,34.7200,34.7200,34.6000,34.6550,4200
1367591155,34.7400,34.7500,34.7000,34.7000,800
1367591218,34.7800,34.8300,34.7300,34.7400,1900
1367591277,34.7800,34.7900,34.7750,34.7800,1600
1367591317,34.8000,34.8000,34.7800,34.7900,600
1367591381,34.6300,34.7900,34.6300,34.7900,2200
1367591458,34.6900,34.7500,34.5600,34.6510,6100
1367591507,34.8100,34.8200,34.7700,34.8000,7900
1367591578,34.7000,34.8000,34.7000,34.8000,800
1367591639,34.7200,34.7400,34.6900,34.7100,3100
1367591685,34.7300,34.8000,34.7000,34.8000,1700
1367591751,34.7300,34.7500,34.6900,34.6900,1900
1367591790,34.7000,34.7000,34.6750,34.6750,2000
1367591860,34.6400,34.7099,34.6400,34.6600,0
1367591913,34.6350,34.6600,34.6350,34.6600,200
1367591983,34.6100,34.6600,34.6100,34.6500,2600
1367592053,34.5840,34.6300,34.5840,34.6300,1100
1367592111,34.6300,34.6400,34.5700,34.6000,600
1367592151,34.6300,34.6550,34.6300,34.6300,500
1367592232,34.6700,34.6900,34.6400,34.6500,3800
1367592271,34.6500,34.6500,34.6200,34.6200,0
1367592354,34.4800,34.6000,34.4800,34.6000,2500
1367592408,34.4900,34.5500,34.4900,34.5500,0
1367592449,34.4800,34.5600,34.4800,34.4800,300
1367592501,34.4800,34.5400,34.4800,34.5400,200
1367592595,34.4300,34.5050,34.4300,34.4400,3300
1367592639,34.3500,34.3900,34.3500,34.3900,0
1367592711,34.3200,34.3400,34.3000,34.3200,1200
1367592772,34.2900,34.3100,34.2600,34.3100,3100
1367592835,34.3300,34.3300,34.2800,34.2800,1900
1367592877,34.4100,34.5200,34.2950,34.3200,5800
1367592956,34.3700,34.4800,34.3600,34.3900,1000
1367593019,34.4500,34.4500,34.3300,34.3700,3900
1367593078,34.4500,34.4500,34.4200,34.4200,1700
1367593130,34.4000,34.4500,34.4000,34.4000,0
1367593199,34.3700,34.3700,34.3300,34.3700,300
1367593255,34.4100,34.5600,34.3300,34.3550,8700
1367593312,34.4200,34.5300,34.4200,34.5200,0
1367593373,34.3800,34.4200,34.3600,34.4200,6300
1367593430,34.4100,34.4200,34.3900,34.4200,300
1367593492,34.3950,34.4600,34.3900,34.4250,300
1367593549,34.4500,34.4550,34.3900,34.3900,500
1367593619,34.4620,34.4620,34.4200,34.4500,300
1367593677,34.4700,34.4800,34.4200,34.4800,3400
1367593720,34.4500,34.4600,34.3900,34.3900,0
1367593797,34.4800,34.5000,34.4400,34.4400,1800
1367593859,34.4900,34.5100,34.4900,34.5100,300
1367593910,34.5000,34.5000,34.5000,34.5000,700
1367593959,34.4500,34.5000,34.4500,34.5000,9900
1367594019,34.4500,34.4650,34.4500,34.4650,0
1367594084,34.4650,34.4700,34.4600,34.4700,4200
1367594152,34.4900,34.4900,34.4600,34.4650,1400
1367594217,34.4650,34.4800,34.4610,34.4700,7300
1367594276,34.4600,34.4700,34.4600,34.4700,300
1367594335,34.5700,34.5700,34.4650,34.4650,1800
1367594399,34.5700,34.6000,34.5400,34.5700,500
1367594441,34.5300,34.5800,34.4900,34.5800,4800
1367594504,34.5000,34.5800,34.5000,34.5450,3700
1367594575,34.5400,34.5450,34.5000,34.5000,3300
1367594617,34.5400,34.5800,34.5000,34.5800,400
1367594698,34.5200,34.5500,34.5000,34.5400,2700
1367594754,34.5500,34.5600,34.5200,34.5200,4000
1367594806,34.5300,34.5500,34.5300,34.5500,5400
1367594833,34.5300,34.5300,34.5300,34.5300,0
